group,name,calories,protein,carb,fiber,Ferro(mg),sodium
Leguminosas e derivados,"Castanha-de-caju, torrada, salgada","570,17","18,51","29,13","3,66","5,22","125,00"
Leguminosas e derivados,"Castanha-do-Brasil, crua","642,96","14,54","15,08","7,93","2,31","0,65"
Leguminosas e derivados,"Coco, cru","406,49","3,69","10,40","5,38","1,76","15,32"
Leguminosas e derivados,"Coco,  verde, cru",*,*,*,*,*,*
Leguminosas e derivados,"Farinha, de mesocarpo de babaçu, crua","328,77","1,41","79,17","17,86","18,33","12,46"
Leguminosas e derivados,"Gergelim, semente","583,55","21,16","21,62","11,87","5,45","2,58"
Leguminosas e derivados,"Linhaça, semente","495,10","14,08","43,31","33,50","4,70","8,67"
Leguminosas e derivados,"Pinhão, cozido","174,37","2,98","43,92","15,60","0,76","0,86"
Leguminosas e derivados,"Pupunha, cozida","218,53","2,52","29,57","4,25","0,52","0,91"
Leguminosas e derivados,"Noz, crua","620,06","13,97","18,36","7,25","2,04","4,57"
